"
Glossary of ESP32forth v7.0.5.4 -  up to v7.0.619",,,,"last updated
July 2022"
,WORD LIST,STACK EFFECT,DESCRIPTION / EXAMPLE,
,immediate words are shown red,,Optionally for off-line reading - download this spreadsheet as an .ods file and open in libreoffice calc - the links will still work,
,Block File system,,,VOCABULARY
,,,,
1,block,( n -- a ),Get a 1024 character block,forth
2,block-fid,( – n ),"value, default = -1",forth
3,block-id,( -- n ),"value, default = -1",forth
4,buffer,( n -- a ),Get a 1024 byte block without regard to old contents,forth
5,copy,( from to -- ),Copy contents of block 'from' to block 'to',forth
6,default-use,,"deferred word, defaults to common-default-use",forth
7,empty-buffers,( -- ),Empty all buffers,forth
8,flush,( -- ),Save and empty all buffers,forth
9,list,( n -- ),List block n of 1024 characters to the display,forth
10,load,( n -- ),Evaluate block n of 1024 characters as the input stream,forth
11,open-blocks,( a n -- ),Open a file as the block file,forth
12,save-buffers,( -- ),Save all buffers,forth
13,scr,( -- adr ),Pointer to last listed block,forth
14,thru,( a b -- ),Load blocks a thru b,forth
15,update,( -- ),Mark the last block modified,forth
16,use,"( ""name"" -- )","Use ""name"" as the blockfile, e.g. USE /spiffs/foo",forth
17,,,,
18,,,,
19,Block File Editor,,,VOCABULARY
20,,,,
21,a,"( n ""text"" -- )","Add (insert) a line in the current block with the words that follow in the input stream, terminated with <cr>",editor
22,d,( n -- ),Delete a line in the current block,editor
23,e,( n -- ),Clear a line in the current block,editor
24,l,( – ),List the current 1024 character block,editor
25,n,( – ),Move to the next 1024 character block,editor
26,p,( – ),Move to the previous 1024 character block,editor
27,r,"( n ""text"" -- )","Replace a line in the current block with the words that follow in the input stream, terminated with <cr>",editor
28,wipe,( -- ),Erase the 1024 character block,editor
29,editor,( -- ),vocabulary name of the block file editor,forth
30,,,,
31,,,,
32,Branching,,,VOCABULARY
33,,,,
34,[ELSE],( – ),Interpret time ELSE,forth
35,[IF],( f – ),"Interpret time IF ( conditional interpretation of words that follow, dependent on flag f ) - see one example of use below",forth
36,[THEN],(–),Interpret time THEN,forth
37,aft,( -- ),":  aft-example     ( n -- )
for    <words that run only 1st interation>
aft    <words that run for all but the 1st iteration>
then <words that run on all iterations>
next ;",forth
38,ahead,( --  ),"continue execution after then e.g.
: myword333 ahead 222 444 then ; running myword would leave 333 on the stack",forth
39,DEFINED?,"( ""name"" -- xt | 0 )","If the name that follows in the input stream is found in the dictionary, the execution address of the word is placed on the stack, else 0 if not found e.g. DEFINED? CREATE returns 1073637288. DEFINED? BABA returns 0
",forth
40,else,(  – ),"part of a conditional structure
e.g. if <forth words else <more forth words> then
e.g. if <forth words> then",forth
41,if,( flag – ),"Conditional structure, which executes depends on flag
e.g. if <forth words else <more forth words> then
e.g. if <forth words> then",forth
42,then,(  -- ),"part of a conditional structure
e.g. if <forth words else <more forth words> then
e.g. if <forth words> then",forth
43,,,,
44,,,,
45,Character I/O,,,VOCABULARY
46,,,,
47,".""",( “string” – ),display the string that follows in the input stream until a terminating “,forth
48,accept,( b u1 -- b u2 ),accepts u1 characters to b. u2 returned is the actual count of characters received,forth
49,char,"( ""character"" -- c )",Convert the non-space char that follows in the input stream and place it's value tos e.g. char 0 places 48 on top of the stack,forth
50,cr,( -- ),"send carriage return, line feed to the display",forth
51,emit,( c – ),display the ascii character c,forth
52,key,( – chr ),deferred word - reads the next character in the input stream - defaults to word serial-key,forth
53,key?,( -- cnt ),"deferred word - returns cnt, the number of characters waiting to be read. cnt=0 if no characters waiting - defaults to word serial-key?",forth
54,ok,( -- ),display the string ok,forth
55,page,( -- ),Emit 30 CR characters to the display,forth
56,PARSE,"( c ""wordtoparse"" -- addr cnt )","Parse the next word in the input stream, terminating on character c. Leave the address and character count cnt of word.If the parse area was empty then cnt=0",forth
57,prompt,,send ok and <cr> to the display,forth
58,space,( -- ),Emit a space character to the display,forth
59,tib,( -- addr ),returns the address of the the terminal input buffer where input text string is held,forth
60,type,( addr n -- ),"deferred word - display an n long character string, located at addr, on the display - as a default executes serial-type",forth
61,ip.,( n --  ),print n in IP address format e.g. 192.168.1.2,web-interface
62,ip#,( n1 -- n2 ),print one section of an ip address,web-interface
63,,,,
64,,,,
65,Comment,,,VOCABULARY
66,,,,
67,(,"( ""string""-- )","Start of a 1 line comment, terminated with ). Most often used to document the stack effect of  word",forth
68,\,,"Start of a 1 line comment, no termination needed",forth
69,,,,
70,,,,
71,Comparison,,,VOCABULARY
72,,,,
73,<,( n1 n2 -- f ),"f=true of n1 less than n2, else f=false",forth
74,<=,( n1 n2 -- f ),"f=true if n1 less than or equal n2, else f=false",forth
75,<>,( n1 n2 -- f ),"f=true if n1 not equal n2, else f=false",forth
76,=,( n1 n2 -- f ),"f=true if n1 equals n2, else f=false",forth
77,>,( n1 n2 -- f ),"f=true if n1 greater than n2, else f=false",forth
78,>=,( n1 n2 -- f ),"f=true if n1 greater than or equal n2, else f=false",forth
79,0<,( n -- f ),"f=true if n less than zero, else f=false",forth
80,0<>,( n -- f ),"f=true if n not equal zero, else f=false",forth
81,0=,( n -- f ),"f=true if n equals zero, else f=false",forth
82,,,,
83,,,,
84,Debug,,,VOCABULARY
85,,,,
86,.s,( – ),display the data stack depth and data stack on one line of the display,forth
87,dump,( addr n – ),"display memory starting at addr, for n longs",forth
88,dump-file,( a n a n -- ),,forth
89,order,( – ),Print the vocabulary search order,forth
90,see,"( ""text"" -- )",Attempt to decompile the word which follows in the input stream,forth
91,vlist,( -- ),List the words in the context vocabulary (not chains) e.g. vlist WiFi only lists words in the Wifi vocabulary,forth
92,words,( -- ),List the words in the context vocabulary (including chains),forth
93,,,,
94,,,,
95,Dictionary,,,VOCABULARY
96,,,,
97,>body,( xt -- addr ),addr is the data-field address corresponding to execution token xt,forth
98,>flags,( xt -- flags ),"returns the flags of the word corresponding to execution token xt
contains 1 if an immediate word, else contains 0",forth
99,>link,( xt -- addr ) ,addr is the link-field address corresponding to execution token xt,forth
100,>link&,( xt -- addr ),used internally  by >link,forth
101,>name,( xt -- addr  n | 0 ),"convert execution token xt to a name located at addr with n characters, else return 0 if not possible",forth
102,FIND,( addr n -- xt | 0 ),"using the counted string at addr with n characters, look a word up in the current dictionary stack, returning the execution token xt if found, else 0",forth
